user_id,password,full_name,carplate,phone_number,is_available,capacity
a3c303e3,ceXRvav5,Çinerk Durmuş,08 WG 58,+90 500-614-53-30,False,20
828617eb,9zl3nCJY,Bekbay Şama,43 EB 501,+90 595-470-59-76,False,20
5ffbd241,MzU83AeI,Erten Durdu,63 IO 376,+90 580-557-60-31,False,20
bad49073,qFgpaJDr,Ginyas Erdoğan,20 EV 86,+90 504-145-80-38,False,20
e803706b,jrqnlFwo,Zamir Dumanlı,48 BO 562,+90 509-738-53-01,False,20
08fb0ff9,4eRTwi40,Özerdinç Ülker,16 LS 88,+90 553-588-59-84,True,20
4d2c6775,ztOqT5lV,Bektaşi Zorlu,30 AQ 710,+90 595-376-81-01,False,20
40678068,QvzG2jeN,Uygun İhsanoğlu,64 JT 255,+90 510-336-39-30,True,20
7848ac8d,fsVnkyAt,Resulcan Tarhan,25 JT 250,+90 517-435-96-17,False,20
9ac32953,lsZ1NNYD,Okseven Demirel,06 CI 762,+90 534-330-33-04,False,20
a3a1bc4e,J56A0toa,Mengi Duran,76 XJ 285,+90 590-537-30-31,False,20
df850172,MqhILSN5,Erksoy Gülen,38 TS 407,+90 554-075-30-83,True,20
7623e635,zOJ3WWkA,Denizalp Akdeniz,04 RB 383,+90 554-424-60-65,True,20
838d49f2,glUx48L1,Coşkun Tevetoğlu,05 MW 375,+90 553-730-48-42,False,20
97358051,4jzZ1etC,Artan Kısakürek,38 MK 445,+90 531-826-77-13,True,20
8a251542,5JzfJc6p,Ayşan İnönü,20 BE 121,+90 596-619-00-79,False,20
4f9c30e3,n9kuVj4n,Noman Zorlu,31 FI 789,+90 519-952-25-89,True,20
5bcbc963,0WpRBrYS,Tahir Eraslan,07 VV 729,+90 500-500-91-37,False,20
e085635a,HBVcRvaM,Uzbay İhsanoğlu,04 ES 437,+90 544-587-07-06,True,20
a6a4402d,WI2MIvAd,Ozansü Şener,38 BG 417,+90 576-078-63-86,False,20
5b9589f7,KHPfcz3r,Ünek Şama,02 EU 117,+90 532-094-74-50,True,20
dc68468b,QOd6LO2G,Denizalp Kısakürek,81 FV 551,+90 570-328-59-29,True,20
ce9e21da,XhV0Ka1Q,Alexandru Çamurcuoğlu,74 BX 763,+90 519-132-48-13,True,20
64d2ddb6,6oaBnvRw,Ginyas Yılmaz,45 LP 486,+90 506-838-85-59,False,20
8adfd6b5,16vTTCZ8,Rüknettin Şama,16 YP 849,+90 517-597-60-71,False,20
87ffac03,6ntA6Yb0,Muhip Dumanlı,59 NH 827,+90 513-112-34-71,False,20
8da14f2f,g0Brbo9W,Züfer Mansız,76 IE 345,+90 585-143-39-21,False,20
13cf0ae5,vKNDwehk,Kınel Şama,60 VM 972,+90 508-328-83-92,True,20
09e768fd,mUILVbBi,Alparslan İhsanoğlu,49 OA 409,+90 520-873-44-99,False,20
d2dab745,H9QBVVrM,Günaydin Erdoğan,51 DP 455,+90 550-355-66-78,True,20
8f6d7baf,QsjWzSmH,Jankat Duran,39 RI 483,+90 585-445-14-40,True,20
a6da108b,rKBAb4J1,Öztürk Ülker,28 UY 74,+90 561-313-08-49,False,20
7c2f3ac7,osJBSu7q,Cezayir Şama,02 CI 726,+90 587-352-48-70,True,20
5fca8398,HfNGPBsh,Tezol Seven,33 WI 800,+90 598-968-04-51,True,20
d4fdb221,OKUiUIgc,Gökçebalan Zengin,34 FT 638,+90 515-994-44-67,True,20
f484ddbc,5ByfPL7n,Ercihan Ülker,53 AN 648,+90 513-654-16-70,False,20
2c2593e9,IU4a8U08,Abdülahat Gül,07 KD 529,+90 592-098-38-42,True,20
b7bd32ab,j8TUpOyP,Bozbağ Aslan,69 SC 936,+90 513-208-90-37,False,20
1c1677a9,tmp5akSd,Dalan Şama,40 WO 984,+90 501-274-42-81,False,20
af0071d7,8iEmJGdu,Önsal Şama,03 GS 950,+90 550-186-66-99,False,20
aa6fbd7b,ZiZTX6Qs,Urhan Eraslan,44 YR 421,+90 596-096-49-36,True,20
95236ddf,cFBthhzk,Erşat Güçlü,60 DL 357,+90 539-360-50-49,False,20
1e4debcd,X9hIBbp8,Nerim Ertaş,07 YP 374,+90 501-325-46-89,True,20
0d505d49,jFTkxVUd,Biltaş Demirel,24 SL 230,+90 573-003-63-48,True,20
6f453da1,8iFKfnSw,Abuzar Sezgin,81 ZM 509,+90 589-815-36-21,False,20
f764e4f7,k49mZIpI,Oğurata Akçay,06 FF 321,+90 555-326-16-77,True,20
e1c9c7c4,71MtTZTD,Tekbay Manço,51 LF 254,+90 585-116-05-06,True,20
b372cbba,dEVppcVi,Akdora Yılmaz,66 MU 888,+90 519-010-30-05,False,20
d1720e74,42dOvBRy,Nayil Zorlu,09 XB 238,+90 538-347-11-38,False,20
156c49e7,XNi4m217,Hatem Öcalan,45 FO 888,+90 577-868-85-73,True,20
