user_id,password,full_name,gender,attendance_status,phone_number,lattitude,longitude
d486ef58,5X5sG5qm,Gülder Soylu,female,"[1, 1, 1, 1, 1, 0, 0]",+90 526-025-57-76,29.208443038870403,40.95548204802046
61e3a711,OaL6mNY5,Nefiye Erdoğan,female,"[1, 0, 1, 0, 0, 0, 0]",+90 527-257-67-34,28.765763401601973,41.04930717951275
2e578847,2cEqLBT7,Şali Bilgin,male,"[0, 0, 1, 0, 1, 0, 0]",+90 568-552-29-85,29.13217468238735,41.03186724983544
58c2ec4d,dnCOjFRx,Kiramettin Aksu,male,"[0, 0, 1, 0, 0, 0, 0]",+90 510-953-01-60,28.61577007640657,41.02248717991223
af805866,uw8TsD6e,Akgüneş Manço,female,"[0, 0, 1, 1, 0, 0, 0]",+90 542-452-94-04,29.08825745591696,41.04964765043881
93b3d8a2,vzCwWmv0,Ömür Yorulmaz,male,"[0, 1, 1, 0, 0, 0, 0]",+90 508-803-93-74,29.356124382858955,41.00465703512119
ac8e8d82,1n02WnK9,Seçgül Demir,female,"[1, 0, 1, 1, 0, 0, 0]",+90 563-299-07-08,29.076192348041573,40.97373229428425
0f7308d5,vrhSDiqJ,Risalet Aksu,female,"[0, 1, 1, 0, 1, 0, 0]",+90 555-736-76-79,29.03892325390037,41.019785876084605
a6a3572d,3ItvKWST,Üçgül Aslan,female,"[0, 0, 1, 0, 0, 0, 0]",+90 589-725-10-86,29.25233904633145,40.9842799162005
0e9690af,tBymjX66,Kısmet Kısakürek,female,"[0, 1, 0, 1, 0, 0, 0]",+90 500-870-96-30,28.63550464823209,41.1444803508191
ff7b39e0,l2w5MQUr,Esmanperi Çorlu,female,"[0, 1, 0, 1, 1, 0, 0]",+90 582-237-78-35,28.677794379053285,41.04986372275216
1ef522ba,BRy8qyOi,Kerime Akça,female,"[1, 0, 0, 0, 1, 0, 0]",+90 585-886-14-88,29.14143346132097,41.01438694406585
bae9480f,t76YyvYk,Yücelen Bilgin,male,"[1, 1, 1, 0, 1, 0, 0]",+90 530-289-08-82,29.052427911034272,40.994754220028256
aa4c2eec,Ryr6KSrR,Tanyu İhsanoğlu,female,"[1, 1, 0, 0, 0, 0, 0]",+90 550-799-84-30,29.14180526305612,41.04917231856936
05e6313f,1sQVGVei,Ceyhun Çetin,female,"[1, 1, 0, 0, 0, 0, 0]",+90 540-800-46-20,29.132170566732206,41.148180849692885
c6b1e123,XhUoJ4PD,Nazende Tevetoğlu,female,"[0, 1, 0, 0, 0, 0, 0]",+90 554-053-98-72,28.91689809900921,41.06361507025731
4de61cd3,5NRJQZXT,Gilman Fırat,female,"[0, 1, 0, 1, 0, 0, 0]",+90 527-965-70-08,28.853870464768416,41.00504471564826
7d74a7e4,LMuwOAIe,Yağızkurt Demirel,male,"[1, 1, 0, 0, 0, 0, 0]",+90 552-739-67-88,29.17640445351951,41.0353083122801
3420f253,PXsywVQO,Ermutlu Akdeniz,male,"[0, 1, 0, 1, 0, 0, 0]",+90 561-243-12-88,29.342085550090378,40.96077667945465
e223f537,MHKGqV93,Orçin Kısakürek,female,"[1, 0, 1, 1, 0, 0, 0]",+90 573-252-94-01,28.82278772046696,40.99475932278904
2fa70ec2,3qXdXLn0,Selatin Karadeniz,male,"[1, 1, 1, 1, 0, 0, 0]",+90 598-200-10-06,29.16348910278725,40.987559529418256
8c0cc0b9,sU26EIP1,Damlanur Yıldırım,female,"[1, 0, 1, 1, 1, 0, 0]",+90 560-366-78-38,28.94243355379727,41.005633441569294
d02237ae,jVHzdxlK,Alize Akdeniz,female,"[1, 0, 1, 1, 0, 0, 0]",+90 521-494-44-51,29.110630780743584,40.962653914391126
53f6e9dd,XOeD7ubd,Başhan Hayrioğlu,male,"[1, 0, 0, 1, 0, 0, 0]",+90 521-792-11-46,28.626274508853765,41.09701669386835
