user_id,password,full_name,carplate,phone_number,Service Number,0
6082772d,bjqvlc65,Savni Zorlu,67 TX 963,+90 572-790-05-40,1,https://yandex.com.tr/harita/?ll=29.05700072752888%2C41.05408151485957&mode=routes&rtext=41.039187783571855%2C29.095513834552648~41.05205461720914%2C29.052833116952865~41.03811568509697%2C29.082033312100894~41.06404643501324%2C29.08193082937568~41.063329846564365%2C29.06074810941432~41.04132922791544%2C29.0652157894708~41.06504058947134%2C29.08992017970174~41.05648840687081%2C29.096426453793253~41.11132935122801%2C29.024426736290895&rtt=auto&ruri=~~~~~~~~~&z=12.41
a5a98e7e,TfAGwAbY,Feza Sezgin,06 TD 921,+90 531-476-87-55,2,https://yandex.com.tr/harita/?ll=29.23548332572716%2C41.02393464336165&mode=routes&rtext=41.02097705384194%2C29.21565908483737~41.00347731084189%2C29.23897292106591~40.996536698484334%2C29.249587957668748~41.00205050183433%2C29.24447818777545~41.01577588396011%2C29.225004066535245~41.007619477266616%2C29.247044081898466~41.00426874881655%2C29.238383867466133~41.02291216382843%2C29.25454270660974~41.11132935122801%2C29.024426736290895&rtt=auto&ruri=~~~~~~~~~&z=12.41
ffb41a16,b3ttrNIf,Güçal Akçay,77 MR 411,+90 578-978-51-60,3,https://yandex.com.tr/harita/?ll=28.8956459647186%2C41.01643193333409&mode=routes&rtext=41.0440559148801%2C28.89016345510294~41.03653451572769%2C28.867237666309084~41.03070353055563%2C28.869202090694404~41.04050232238605%2C28.881712631859767~41.02396285912921%2C28.86484731677889~41.0395642206924%2C28.89484649511322~41.03788394717863%2C28.864432098273184~41.0023475222393%2C28.90092556176289~41.11132935122801%2C29.024426736290895&rtt=auto&ruri=~~~~~~~~~&z=12.41
a9f3e697,AxT1a9Qc,Toy Akçay,77 WT 559,+90 563-921-00-39,4,https://yandex.com.tr/harita/?ll=28.677794379053285%2C41.04986372275216&mode=routes&rtext=41.0251014698353%2C28.647993544000133~41.02403023850662%2C28.671964268741785~41.04650460509338%2C28.656292971763417~41.05933329404302%2C28.685422939871707~41.04625479820336%2C28.649855428105827~41.02540803213687%2C28.642222179428074~41.02991381395986%2C28.648343709861614~41.04985419002679%2C28.66334761905013~41.11132935122801%2C29.024426736290895&rtt=auto&ruri=~~~~~~~~~&z=12.41
8949d0fe,OW2Tguwd,Saba Çamurcuoğlu,43 XH 162,+90 594-897-82-67,5,https://yandex.com.tr/harita/?ll=29.13124492476031%2C41.0040268328708&mode=routes&rtext=41.01787129502851%2C29.150388702066845~41.01236926503527%2C29.15137441477788~41.0124392317033%2C29.13531882987961~40.98989928366152%2C29.152159123373224~41.00446659213228%2C29.14123066399143~41.00808363091842%2C29.13335473624715~40.99728665309555%2C29.13869904263603~41.00270275661623%2C29.14794815343107~41.11132935122801%2C29.024426736290895&rtt=auto&ruri=~~~~~~~~~&z=12.41
51ceff3f,jta4Fk8q,Talayer Şener,41 HZ 509,+90 573-320-96-44,6,https://yandex.com.tr/harita/?ll=28.964935251431164%2C41.04352517774172&mode=routes&rtext=41.0481324719666%2C28.97152994900669~41.042759138001806%2C28.96972096470172~41.0512418683111%2C28.97856300993874~41.05516849587723%2C28.95334773283977~41.06798962592507%2C28.9517333541704~41.04254023329682%2C28.954485637409817~41.0455161687461%2C28.96292886247001~41.05766020336078%2C28.9732384262052~41.11132935122801%2C29.024426736290895&rtt=auto&ruri=~~~~~~~~~&z=12.41
85ad8fef,a2SDIMd4,Turabi Alemdar,26 IV 165,+90 567-103-72-69,7,https://yandex.com.tr/harita/?ll=28.75118530862942%2C41.07837764597425&mode=routes&rtext=41.07533742696104%2C28.74592107066179~41.09028818816946%2C28.72874124295381~41.08932394090671%2C28.765410696487404~41.0734007598383%2C28.733174388159497~41.0802043719713%2C28.7600562857456~41.09963477814696%2C28.7581799168341~41.08353164024148%2C28.72878977290467~41.08792412305127%2C28.74063975553737~41.11132935122801%2C29.024426736290895&rtt=auto&ruri=~~~~~~~~~&z=12.41
87aa0123,b7QfGRGY,Yankı Akça,51 GG 795,+90 563-796-48-48,8,https://yandex.com.tr/harita/?ll=29.110630780743584%2C40.962653914391126&mode=routes&rtext=40.95671800562061%2C29.1127651597414~40.98210629405298%2C29.088646207695707~40.95705399793756%2C29.08366957156418~40.98434749323655%2C29.09022148712757~40.97744264021938%2C29.09901494774793~40.963268228751744%2C29.093743129352937~40.972454307546485%2C29.105237614719755~40.960558873036746%2C29.085268625113567~41.11132935122801%2C29.024426736290895&rtt=auto&ruri=~~~~~~~~~&z=12.41
aab1dc0f,YpA4vqBh,Özpınar Yılmaz,21 DX 590,+90 595-780-49-95,9,https://yandex.com.tr/harita/?ll=28.92108275277949%2C41.17381626197255&mode=routes&rtext=41.126975522657744%2C28.867000159767336~41.18114967834407%2C28.90995946255756~41.14445652818191%2C28.85101730074167~41.125153585960064%2C28.88292640653251~41.153413890154745%2C28.88761369953762~41.153217308791625%2C28.88173730141194~41.19483179600704%2C28.867240974841195~41.11926432475135%2C28.86043420215943~41.11132935122801%2C29.024426736290895&rtt=auto&ruri=~~~~~~~~~&z=12.41
5675f34f,d5feSsI5,Taygan Bilge,14 AQ 774,+90 565-934-95-55,10,https://yandex.com.tr/harita/?ll=28.48031991167112%2C41.181226343273&mode=routes&rtext=41.05188136614766%2C28.40146079837849~41.08008248371805%2C28.30286805057881~41.06016937792809%2C28.484095563426003~41.03734028350268%2C28.425681215840715~41.03288780064696%2C28.45031792036441~41.07425606839866%2C28.374553885753656~41.11132935122801%2C29.024426736290895&rtt=auto&ruri=~~~~~~~~~&z=12.41
43446d21,JLvxarBR,Ekmel Ülker,01 LA 441,+90 517-463-38-48,11,https://yandex.com.tr/harita/?ll=29.31478118179558%2C41.06194770454072&mode=routes&rtext=41.05992675972439%2C29.32879967769455~41.13225044664156%2C29.352026467231987~41.14860053357612%2C29.319940732388275~41.067027494533065%2C29.317656915808293~41.05917907837745%2C29.38268292859551~41.07768301087277%2C29.41842009601002~41.04923327502283%2C29.38199416750817~41.11132935122801%2C29.024426736290895&rtt=auto&ruri=~~~~~~~~~&z=12.41
2639c884,nVbEYGNc,Bişar Hayrioğlu,49 LB 699,+90 548-377-04-73,12,https://yandex.com.tr/harita/?ll=28.83068611407114%2C40.99149436152956&mode=routes&rtext=40.98161081192735%2C28.81405665430726~40.98569718087232%2C28.823623203586365~40.98471321013674%2C28.814675687467627~40.98182783492315%2C28.82227194145101~40.97996258110247%2C28.81485639712812~40.97900974752257%2C28.83107249522076~40.96560263089673%2C28.82711423672033~41.00762479356293%2C28.81894907291243~41.11132935122801%2C29.024426736290895&rtt=auto&ruri=~~~~~~~~~&z=12.41
b9178c56,mErFFEyv,Erginel Aslan,32 YH 580,+90 525-534-79-65,13,https://yandex.com.tr/harita/?ll=29.16715388520199%2C40.93622357361072&mode=routes&rtext=40.94230820802908%2C29.173936724262813~40.92769090043911%2C29.194306455277857~40.92631364471405%2C29.16759759799956~40.9288900020267%2C29.173948099535927~40.949328232078045%2C29.179754803715447~40.95473608836063%2C29.19464317512153~40.94181903676853%2C29.193543831233608~40.94990308432906%2C29.178962226849087~41.11132935122801%2C29.024426736290895&rtt=auto&ruri=~~~~~~~~~&z=12.41
954be382,7qwdSomt,Mefarettin Zorlu,77 FT 58,+90 537-017-76-03,14,https://yandex.com.tr/harita/?ll=29.14180526305612%2C41.04917231856936&mode=routes&rtext=41.053319322694456%2C29.13020076987316~41.06713930153474%2C29.14691553963378~41.07462437956866%2C29.148641644718232~41.05127395564856%2C29.1447764839594~41.053020728524686%2C29.129502930477653~41.05608581803917%2C29.126260265191263~41.05029821301344%2C29.13994801828675~41.05542836043056%2C29.142675426426266~41.11132935122801%2C29.024426736290895&rtt=auto&ruri=~~~~~~~~~&z=12.41
8a1fec32,pYHOhFNz,Hariz Tarhan,30 MH 70,+90 599-325-43-18,15,https://yandex.com.tr/harita/?ll=29.03892325390037%2C41.019785876084605&mode=routes&rtext=41.00441581831227%2C29.032073709697794~40.99173204045656%2C29.04230821293052~40.9915547454692%2C29.037343471096303~40.9860633748809%2C29.02414622889466~41.00783366182056%2C29.04463476115972~41.0057559900241%2C29.0333521485684~40.98415274065143%2C29.03832032251169~41.00398896993103%2C29.04606299924358~41.11132935122801%2C29.024426736290895&rtt=auto&ruri=~~~~~~~~~&z=12.41
9241bbfe,CAdax7Q2,Feyruz Hançer,71 UG 736,+90 583-672-98-72,16,https://yandex.com.tr/harita/?ll=28.82632745682496%2C41.145244417339256&mode=routes&rtext=41.17804552925792%2C28.77432187294364~41.14594502382073%2C28.779121236984786~41.20388681773284%2C28.71918558556753~41.14140066537146%2C28.779015024749363~41.24621510821069%2C28.75317778728173~41.18616375103769%2C28.775824654725096~41.13943504883813%2C28.796455687288688~41.13869458149909%2C28.775746500098965~41.11132935122801%2C29.024426736290895&rtt=auto&ruri=~~~~~~~~~&z=12.41
b2886a13,MXklkCxo,Kamar Akar,45 DK 4,+90 577-827-39-06,17,https://yandex.com.tr/harita/?ll=28.780768985872605%2C40.98370796208315&mode=routes&rtext=41.01333534936415%2C28.72527812847995~41.01166639830273%2C28.709804572600813~40.995448410504245%2C28.74889598367143~40.97971918992575%2C28.727664457488057~40.98581852961448%2C28.729313981588845~41.010315579634224%2C28.7188987538742~40.97621831892079%2C28.7078412481009~41.01547477296733%2C28.73232343836108~41.11132935122801%2C29.024426736290895&rtt=auto&ruri=~~~~~~~~~&z=12.41
3551a14f,lWZlWj2u,Nazlim Yüksel,50 GV 714,+90 552-189-03-26,18,https://yandex.com.tr/harita/?ll=28.55801621327145%2C41.0480860805319&mode=routes&rtext=41.10462536528805%2C28.53400401025761~41.01737834696937%2C28.53226160159704~41.09594787195005%2C28.543039670273725~41.02559201757897%2C28.51655672170592~41.04853213107529%2C28.5610849372694~41.0569616047812%2C28.531467393001225~41.02111140435244%2C28.51899532953271~41.03674990559953%2C28.53346682551738~41.11132935122801%2C29.024426736290895&rtt=auto&ruri=~~~~~~~~~&z=12.41
898119e1,6IbN89h7,Tecimer Demir,65 CK 331,+90 590-078-43-98,19,https://yandex.com.tr/harita/?ll=28.89518625172449%2C41.0782729234031&mode=routes&rtext=41.10844574654534%2C28.925437717084872~41.12486901991328%2C28.928148257353577~41.08852896707264%2C28.88453200378964~41.078923003793%2C28.90038094407998~41.13938144485692%2C28.91333704060744~41.1273830441353%2C28.92190350582436~41.10851789969824%2C28.906157712539308~41.101681329237984%2C28.903212072835707~41.11132935122801%2C29.024426736290895&rtt=auto&ruri=~~~~~~~~~&z=12.41
703d358e,ei7OTjWZ,Müfit Bilge,65 II 743,+90 549-151-57-87,20,https://yandex.com.tr/harita/?ll=28.81724811593435%2C41.02839585399243&mode=routes&rtext=41.02468221314505%2C28.785964469731823~41.04029050664997%2C28.814379988108342~41.028728957093776%2C28.79198205892313~41.01994509982855%2C28.816606051143573~41.028347149847626%2C28.820925194244538~41.03356524295084%2C28.81264729803103~41.03025945852813%2C28.81929924722313~41.03006183582171%2C28.78640570765429~41.11132935122801%2C29.024426736290895&rtt=auto&ruri=~~~~~~~~~&z=12.41
